name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;865;0;1032;3169;1837;3169;1860;0
header;231;174;231;214;1858;214;1858;174
A;1030;233;1030;260;1054;260;1054;233
A;1002;377;1002;393;1010;393;1010;377
A;1006;888;1006;891;1010;891;1010;888
B;1029;909;1029;936;1049;936;1049;909
B;955;918;955;932;976;932;976;918
B;1436;963;1436;979;1458;979;1458;963
C;1024;1578;1024;1603;1046;1603;1046;1578
C;1351;1777;1351;1797;1367;1797;1367;1777
C;1501;1778;1501;1798;1517;1798;1517;1778
C;1578;1824;1578;1844;1593;1844;1593;1824
C;1724;1916;1724;1936;1739;1936;1739;1916
B;1225;2186;1225;2206;1240;2206;1240;2186
B;994;2411;994;2430;1009;2430;1009;2411
A;1621;2867;1621;2867;1621;2867;1621;2867
D;1655;2897;1655;2927;1675;2927;1675;2897
A;1112;2981;1112;2981;1112;2981;1112;2981
