name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;947;0;947;3161;1788;3161;1431;0
header;178;218;178;250;1797;250;1797;218
A;980;277;980;304;999;304;999;277
A;991;375;991;375;991;375;991;375
B;1402;504;1402;530;1418;530;1418;504
D;1251;807;1251;827;1267;827;1267;807
A;962;950;962;953;966;953;966;950
B;984;952;984;979;1004;979;1004;952
B;1243;1359;1243;1377;1257;1377;1257;1359
B;1181;1407;1181;1425;1194;1425;1194;1407
C;987;1630;987;1659;1006;1659;1006;1630
D;982;2307;982;2336;1007;2336;1007;2307
